user_id,conversation_id,session_id,variant,is_resolved,ai_metric,timestamp
u0001,conv0000001,sess0000001,A,1,3.69,2024-01-06 04:00:00
u0001,conv0000002,sess0000002,A,1,3.7,2024-01-05 02:00:00
u0002,conv0000003,sess0000003,A,1,4.8,2024-01-05 20:00:00
u0002,conv0000003,sess0000004,A,0,2.53,2024-01-10 13:00:00
u0002,conv0000003,sess0000005,A,1,2.9,2024-01-08 16:00:00
u0003,conv0000004,sess0000006,A,1,3.39,2024-01-02 13:00:00
u0003,conv0000004,sess0000007,A,1,4.75,2024-01-07 12:00:00
u0003,conv0000004,sess0000008,A,1,4.08,2024-01-07 15:00:00
u0004,conv0000005,sess0000009,A,1,4.14,2024-01-07 20:00:00
u0005,conv0000006,sess0000010,A,0,2.79,2024-01-07 12:00:00
u0005,conv0000006,sess0000011,A,0,2.48,2024-01-06 00:00:00
u0005,conv0000007,sess0000012,A,1,4.22,2024-01-04 19:00:00
u0005,conv0000007,sess0000013,A,0,2.16,2024-01-03 17:00:00
u0006,conv0000008,sess0000014,A,1,3.56,2024-01-01 20:00:00
u0006,conv0000008,sess0000015,A,0,2.64,2024-01-05 11:00:00
u0006,conv0000008,sess0000016,A,0,3.35,2024-01-06 14:00:00
u0006,conv0000008,sess0000017,A,1,3.52,2024-01-10 12:00:00
u0007,conv0000009,sess0000018,A,1,3.61,2024-01-01 01:00:00
u0007,conv0000009,sess0000019,A,1,5.0,2024-01-09 02:00:00
u0007,conv0000010,sess0000020,A,1,5.0,2024-01-01 19:00:00
u0008,conv0000011,sess0000021,A,1,5.0,2024-01-06 03:00:00
u0008,conv0000011,sess0000022,A,1,3.67,2024-01-07 16:00:00
u0009,conv0000012,sess0000023,A,0,1.95,2024-01-06 14:00:00
u0009,conv0000012,sess0000024,A,1,3.76,2024-01-04 06:00:00
u0009,conv0000012,sess0000025,A,0,4.34,2024-01-04 18:00:00
u0009,conv0000012,sess0000026,A,1,4.9,2024-01-08 19:00:00
u0010,conv0000013,sess0000027,A,0,1.51,2024-01-03 19:00:00
u0010,conv0000013,sess0000028,A,1,3.7,2024-01-10 13:00:00
u0010,conv0000013,sess0000029,A,1,3.72,2024-01-10 01:00:00
u0011,conv0000014,sess0000030,A,0,1.91,2024-01-06 05:00:00
