user_id,session_id,variant,session_revenue,timestamp
u0003,sess0000001,A,10.99,2024-01-02 14:00:00
u0003,sess0000002,A,10.22,2024-01-03 19:00:00
u0003,sess0000003,A,3.21,2024-01-03 13:00:00
u0003,sess0000004,A,15.04,2024-01-01 01:00:00
u0003,sess0000005,A,10.75,2024-01-02 15:00:00
u0003,sess0000006,A,17.33,2024-01-04 16:00:00
u0003,sess0000007,A,11.16,2024-01-03 14:00:00
u0004,sess0000008,A,7.28,2024-01-06 19:00:00
u0004,sess0000009,A,11.24,2024-01-04 07:00:00
u0004,sess0000010,A,5.58,2024-01-03 02:00:00
u0004,sess0000011,A,5.84,2024-01-07 05:00:00
u0015,sess0000012,A,10.45,2024-01-06 17:00:00
u0015,sess0000013,A,4.6,2024-01-01 14:00:00
u0015,sess0000014,A,10.84,2024-01-04 04:00:00
u0015,sess0000015,A,21.48,2024-01-04 14:00:00
u0015,sess0000016,A,9.39,2024-01-03 12:00:00
u0015,sess0000017,A,3.24,2024-01-05 15:00:00
u0015,sess0000018,A,9.63,2024-01-03 17:00:00
u0018,sess0000019,A,16.65,2024-01-02 06:00:00
u0018,sess0000020,A,5.56,2024-01-07 08:00:00
u0018,sess0000021,A,11.03,2024-01-06 07:00:00
u0018,sess0000022,A,10.81,2024-01-05 04:00:00
u0018,sess0000023,A,10.06,2024-01-03 16:00:00
u0018,sess0000024,A,4.18,2024-01-02 02:00:00
u0018,sess0000025,A,9.6,2024-01-04 12:00:00
u0018,sess0000026,A,11.49,2024-01-03 17:00:00
u0018,sess0000027,A,18.3,2024-01-04 09:00:00
u0018,sess0000028,A,16.28,2024-01-06 04:00:00
u0019,sess0000029,A,11.82,2024-01-05 04:00:00
u0019,sess0000030,A,15.08,2024-01-05 10:00:00
u0019,sess0000031,A,8.19,2024-01-03 11:00:00
u0020,sess0000032,A,10.68,2024-01-03 09:00:00
u0020,sess0000033,A,7.51,2024-01-01 01:00:00
u0020,sess0000034,A,11.13,2024-01-01 14:00:00
u0020,sess0000035,A,8.79,2024-01-04 12:00:00
u0024,sess0000036,A,4.64,2024-01-05 14:00:00
u0024,sess0000037,A,6.36,2024-01-05 10:00:00
u0024,sess0000038,A,9.25,2024-01-02 16:00:00
u0024,sess0000039,A,6.81,2024-01-02 21:00:00
u0024,sess0000040,A,4.6,2024-01-05 05:00:00
u0025,sess0000041,A,6.15,2024-01-07 09:00:00
u0025,sess0000042,A,17.6,2024-01-07 02:00:00
u0025,sess0000043,A,0.04,2024-01-06 23:00:00
u0025,sess0000044,A,6.46,2024-01-01 17:00:00
u0025,sess0000045,A,7.42,2024-01-01 07:00:00
u0026,sess0000046,A,10.13,2024-01-03 13:00:00
u0026,sess0000047,A,8.27,2024-01-05 17:00:00
u0026,sess0000048,A,11.85,2024-01-04 19:00:00
u0026,sess0000049,A,0.0,2024-01-01 04:00:00
u0026,sess0000050,A,7.05,2024-01-05 19:00:00
u0026,sess0000051,A,5.14,2024-01-04 04:00:00
u0026,sess0000052,A,2.6,2024-01-05 21:00:00
u0026,sess0000053,A,23.15,2024-01-04 19:00:00
u0026,sess0000054,A,12.39,2024-01-01 10:00:00
u0026,sess0000055,A,16.64,2024-01-06 14:00:00
u0032,sess0000056,A,0.0,2024-01-01 16:00:00
u0032,sess0000057,A,9.9,2024-01-05 00:00:00
u0032,sess0000058,A,6.43,2024-01-04 02:00:00
u0032,sess0000059,A,11.7,2024-01-04 04:00:00
u0032,sess0000060,A,4.69,2024-01-06 07:00:00
u0032,sess0000061,A,8.06,2024-01-02 22:00:00
u0035,sess0000062,A,14.13,2024-01-06 14:00:00
u0035,sess0000063,A,7.09,2024-01-06 13:00:00
u0035,sess0000064,A,5.72,2024-01-02 09:00:00
u0035,sess0000065,A,11.85,2024-01-02 21:00:00
u0035,sess0000066,A,0.0,2024-01-03 21:00:00
u0035,sess0000067,A,11.25,2024-01-01 00:00:00
u0035,sess0000068,A,3.74,2024-01-02 09:00:00
u0035,sess0000069,A,12.94,2024-01-01 09:00:00
u0035,sess0000070,A,12.19,2024-01-06 17:00:00
u0035,sess0000071,A,9.8,2024-01-01 05:00:00
u0038,sess0000072,A,0.0,2024-01-06 00:00:00
u0038,sess0000073,A,15.9,2024-01-04 22:00:00
u0038,sess0000074,A,9.3,2024-01-05 14:00:00
u0038,sess0000075,A,1.66,2024-01-06 19:00:00
u0038,sess0000076,A,15.54,2024-01-07 18:00:00
u0038,sess0000077,A,11.31,2024-01-01 05:00:00
